fid,id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"59","79",583065.0054,5031593.4071,583067.2454,5031588.4071,"18","3",1118,828,0.740608228980322
"60","80",583065.0054,5031588.4071,583067.2454,5031583.4071,"19","3",1119,860,0.768543342269884
"61","86",583067.2454,5031658.4071,583069.4854,5031653.4071,"5","4",1118,967,0.864937388193202
"62","87",583067.2454,5031653.4071,583069.4854,5031648.4071,"6","4",1122,932,0.83065953654189
"63","88",583067.2454,5031648.4071,583069.4854,5031643.4071,"7","4",1120,958,0.855357142857143
"64","89",583067.2454,5031643.4071,583069.4854,5031638.4071,"8","4",1119,653,0.583556747095621
"65","90",583067.2454,5031638.4071,583069.4854,5031633.4071,"9","4",1122,926,0.825311942959002
"66","91",583067.2454,5031633.4071,583069.4854,5031628.4071,"10","4",1118,972,0.869409660107335
"67","92",583067.2454,5031628.4071,583069.4854,5031623.4071,"11","4",1121,929,0.828724353256021
"68","93",583067.2454,5031623.4071,583069.4854,5031618.4071,"12","4",1119,991,0.885612153708668
"69","94",583067.2454,5031618.4071,583069.4854,5031613.4071,"13","4",1118,991,0.886404293381038
"70","95",583067.2454,5031613.4071,583069.4854,5031608.4071,"14","4",1120,894,0.798214285714286
"71","96",583067.2454,5031608.4071,583069.4854,5031603.4071,"15","4",1119,960,0.857908847184987
"72","97",583067.2454,5031603.4071,583069.4854,5031598.4071,"16","4",1124,947,0.842526690391459
"73","98",583067.2454,5031598.4071,583069.4854,5031593.4071,"17","4",1123,964,0.858414959928762
"74","99",583067.2454,5031593.4071,583069.4854,5031588.4071,"18","4",1119,773,0.690795352993744
"75","100",583067.2454,5031588.4071,583069.4854,5031583.4071,"19","4",1121,1039,0.926851025869759
"76","106",583069.4854,5031658.4071,583071.7254,5031653.4071,"5","5",1119,1026,0.916890080428954
"77","107",583069.4854,5031653.4071,583071.7254,5031648.4071,"6","5",1118,1069,0.956171735241503
"78","108",583069.4854,5031648.4071,583071.7254,5031643.4071,"7","5",1122,782,0.696969696969697
"79","109",583069.4854,5031643.4071,583071.7254,5031638.4071,"8","5",1119,936,0.836461126005362
"80","110",583069.4854,5031638.4071,583071.7254,5031633.4071,"9","5",1121,962,0.858162355040143
"81","111",583069.4854,5031633.4071,583071.7254,5031628.4071,"10","5",1120,1001,0.89375
"82","112",583069.4854,5031628.4071,583071.7254,5031623.4071,"11","5",1118,1054,0.942754919499106
"83","113",583069.4854,5031623.4071,583071.7254,5031618.4071,"12","5",1121,1064,0.949152542372881
"84","114",583069.4854,5031618.4071,583071.7254,5031613.4071,"13","5",1122,1089,0.970588235294118
"85","115",583069.4854,5031613.4071,583071.7254,5031608.4071,"14","5",1119,1019,0.910634495084897
"86","116",583069.4854,5031608.4071,583071.7254,5031603.4071,"15","5",1122,1117,0.99554367201426
"87","117",583069.4854,5031603.4071,583071.7254,5031598.4071,"16","5",1118,1036,0.926654740608229
"88","118",583069.4854,5031598.4071,583071.7254,5031593.4071,"17","5",1118,1043,0.932915921288014
"89","119",583069.4854,5031593.4071,583071.7254,5031588.4071,"18","5",1118,931,0.832737030411449
"90","120",583069.4854,5031588.4071,583071.7254,5031583.4071,"19","5",1118,1042,0.932021466905188
"91","126",583071.7254,5031658.4071,583073.9654,5031653.4071,"5","6",1123,1010,0.899376669634906
"92","127",583071.7254,5031653.4071,583073.9654,5031648.4071,"6","6",1118,748,0.669051878354204
"93","128",583071.7254,5031648.4071,583073.9654,5031643.4071,"7","6",1121,806,0.71900089206066
"94","129",583071.7254,5031643.4071,583073.9654,5031638.4071,"8","6",1121,925,0.825156110615522
"95","130",583071.7254,5031638.4071,583073.9654,5031633.4071,"9","6",1117,1020,0.913160250671441
"96","131",583071.7254,5031633.4071,583073.9654,5031628.4071,"10","6",1119,1066,0.952636282394996
"97","132",583071.7254,5031628.4071,583073.9654,5031623.4071,"11","6",1118,845,0.755813953488372
"98","133",583071.7254,5031623.4071,583073.9654,5031618.4071,"12","6",1123,1026,0.913624220837044
"99","134",583071.7254,5031618.4071,583073.9654,5031613.4071,"13","6",1122,1065,0.949197860962567
"100","135",583071.7254,5031613.4071,583073.9654,5031608.4071,"14","6",1120,1003,0.895535714285714
"101","136",583071.7254,5031608.4071,583073.9654,5031603.4071,"15","6",1122,1088,0.96969696969697
"102","137",583071.7254,5031603.4071,583073.9654,5031598.4071,"16","6",1120,724,0.646428571428571
"103","138",583071.7254,5031598.4071,583073.9654,5031593.4071,"17","6",1121,1004,0.895628902765388
