Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Description1,SPACING,DENSITY,VARIETY,Treatment,Mason Plot #,qGIS plot number,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,HAsum,HAmean,HAmean2row,AdjustedYield2row,spatialcv,Weighted Adjustment(0.5),WeightedYield,AlgoYieldSiE,AlgoYieldSi,AlgoYieldN,AlgoYield,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,1BFEDDC748,3,,LODS,213,,"22""",100000,Red Rover,25,315,3015,3,15,62,20.9,647,821,2024-07-18,2024-08-24,130185,0.955396967,0.996296296,824.0520446,,0.928240132,884.4694084,821,,,,,0,213,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15E9CC80F0,3,,LODS,238,,"30""",100000,Cayenne,63,316,3016,3,16,56,17.9,1310,1726,2024-07-26,2024-08-30,142226,0.935691213,0.973630885,1772.745736,,0.967845607,1783.34229,1726,,,,,0,238,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EF1E40699,3,,LODS,243,,"30""",150000,Nautica,83,317,3017,3,17,23,15.9,766,1034,2024-07-26,2024-08-31,149280,0.982105263,0.982736842,1052.163668,,0.991052632,1043.335104,1034,,,,,0,243,,,,,,,,,,,,,,,,,,,,,,,
24101-n,159D531A2B,3,,LODS,268,,"30""",75000,Apex,46,318,3018,3,18,28,20.5,1838,2345,2024-07-23,2024-09-02,140291,0.922973177,0.988986842,2371.113447,,0.961486589,2438.931575,2345,,,,,0,268,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15F1103A97,4,,LODS,273,,"22""",75000,black bear,2,319,3019,3,19,43,17.1,1417,1885,2024-07-24,2024-09-01,114733,0.81233244,0.81598513,2310.091116,,0.877411184,2148.365595,2310.091116,,,,,0,273,,,,,,,,,,,,,,,,,,,,,,,
24101-n,16E3AA9234,4,,LODS,298,,"22""",100000,ETNA,21,320,3020,3,20,53,18.7,387,.,2024-07-20,2024-08-20,118764,0.918894831,0.981412639,.,,0.890668483,566.989862,.,,,,,0,298,,,,,,,,,,,,,,,,,,,,,,,
24101-n,165D4DC392,4,,LODS,303,,"22""",150000,Eclipse,35,321,3021,3,21,44,17.3,1162,1542,2024-07-23,2024-08-23,128625,0.958855098,1,1542,,0.92311412,1670.432687,1542,,,,,0,303,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1ED9D8003A,4,,LODS,328,,"30""",150000,Red Rover,85,322,3022,3,22,,,,.,2024-07-19,2024-08-23,151518,0.996822389,0.995947315,.,,,,,,,,,0,328,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15B3A956D5,4,,LODS,333,,"30""",100000,Merlot,67,323,3023,3,23,44,19.9,507,652,2024-07-25,2024-08-28,135319,0.890250722,0.911302632,715.4593627,,0.945125361,689.8555757,652,,,,,0,333,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1AC1A4B836,4,,LODS,358,,"30""",75000,Red Rover,55,324,3024,3,24,,,,.,2024-07-19,2024-08-19,149865,0.985947461,0.995486783,.,,,,,,,,,0,358,,,,,,,,,,,,,,,,,,,,,,,
24101-n,197BBB7845,1,,LODS,4,,"30""",100000,Zorro,75,401,4001,4,1,27,21.5,1519,1913,2024-07-21,2024-08-24,144210,0.948756242,0.98372347,1944.65219,,0.974378121,1963.303525,1913,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CFB818B13,1,,LODS,27,,"30""",150000,Merlot,82,402,4002,4,2,38,19.7,1394,1796,2024-07-20,2024-08-26,144312,0.949414806,0.996052632,1803.117569,,0.974707403,1842.604247,1796,,,,,0,27,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1D59F1C964,1,,LODS,34,,"30""",75000,Zorro,60,403,4003,4,3,28,19.6,1320,1703,2024-07-23,2024-08-26,126330,0.831112953,0.874093762,1948.303574,,0.915556477,1860.070945,1948.303574,,,,,0,34,,,,,,,,,,,,,,,,,,,,,,,
