id,left,top,right,bottom,row_index,col_index,Plot Numbe,HAsum,HAmean
651,583032.187500000000000,5031718.419999999925494,583037.187500000000000,5031715.379999999888241,2,9,1003,99365.000000000000000,0.653708504
652,583032.187500000000000,5031715.379999999888241,583037.187500000000000,5031712.339999999850988,3,9,1004,86857.000000000000000,0.57143515
653,583032.187500000000000,5031712.339999999850988,583037.187500000000000,5031709.300000000745058,4,9,1005,122648.000000000000000,0.806894737
654,583032.187500000000000,5031709.300000000745058,583037.187500000000000,5031706.259999999776483,5,9,1006,123499.000000000000000,0.812488076
655,583032.187500000000000,5031706.259999999776483,583037.187500000000000,5031703.219999999739230,6,9,1007,106696.000000000000000,0.70194275
656,583032.187500000000000,5031703.219999999739230,583037.187500000000000,5031700.179999999701977,7,9,1008,113643.000000000000000,0.747661153
657,583032.187500000000000,5031700.179999999701977,583037.187500000000000,5031697.139999999664724,8,9,1009,117433.000000000000000,0.772580444
658,583032.187500000000000,5031697.139999999664724,583037.187500000000000,5031694.099999999627471,9,9,1010,149063.000000000000000,0.980677632
659,583032.187500000000000,5031694.099999999627471,583037.187500000000000,5031691.059999999590218,10,9,1011,146865.000000000000000,0.966217105
660,583032.187500000000000,5031691.059999999590218,583037.187500000000000,5031688.019999999552965,11,9,1012,149619.000000000000000,0.984335526
661,583032.187500000000000,5031688.019999999552965,583037.187500000000000,5031684.979999999515712,12,9,1013,133367.000000000000000,0.877414474
662,583032.187500000000000,5031684.980000000447035,583037.187500000000000,5031681.940000000409782,13,9,1014,122341.000000000000000,0.804869705
663,583032.187500000000000,5031681.940000000409782,583037.187500000000000,5031678.900000000372529,14,9,1015,124700.000000000000000,0.820410929
664,583032.187500000000000,5031678.900000000372529,583037.187500000000000,5031675.860000000335276,15,9,1016,147552.000000000000000,0.970724069
665,583032.187500000000000,5031675.860000000335276,583037.187500000000000,5031672.819999999366701,16,9,1017,142072.000000000000000,0.934684211
666,583032.187500000000000,5031672.819999999366701,583037.187500000000000,5031669.780000000260770,17,9,1018,137680.000000000000000,0.905783515
667,583032.187500000000000,5031669.780000000260770,583037.187500000000000,5031666.740000000223517,18,9,1019,110099.000000000000000,0.724345057
668,583032.187500000000000,5031666.740000000223517,583037.187500000000000,5031663.700000000186265,19,9,1020,107395.000000000000000,0.706541404
669,583032.187500000000000,5031663.700000000186265,583037.187500000000000,5031660.660000000149012,20,9,1021,124069.000000000000000,0.816238051
670,583032.187500000000000,5031660.660000000149012,583037.187500000000000,5031657.620000000111759,21,9,1022,144339.000000000000000,0.949598684
671,583032.187500000000000,5031657.620000000111759,583037.187500000000000,5031654.580000000074506,22,9,1023,151459.000000000000000,0.996453901
672,583032.187500000000000,5031654.580000000074506,583037.187500000000000,5031651.540000000037253,23,9,1024,116836.000000000000000,0.768647781
721,583037.187500000000000,5031724.500000000000000,583042.187500000000000,5031721.459999999962747,0,10,1101,149211.000000000000000,0.981651316
722,583037.187500000000000,5031721.459999999962747,583042.187500000000000,5031718.419999999925494,1,10,1102,149803.000000000000000,0.985546053
723,583037.187500000000000,5031718.419999999925494,583042.187500000000000,5031715.379999999888241,2,10,1103,111814.000000000000000,0.7356281
724,583037.187500000000000,5031715.379999999888241,583042.187500000000000,5031712.339999999850988,3,10,1104,124995.000000000000000,0.822324706
725,583037.187500000000000,5031712.339999999850988,583042.187500000000000,5031709.300000000745058,4,10,1105,121596.000000000000000,0.799968421
726,583037.187500000000000,5031709.300000000745058,583042.187500000000000,5031706.259999999776483,5,10,1106,124411.000000000000000,0.818509576
727,583037.187500000000000,5031706.259999999776483,583042.187500000000000,5031703.219999999739230,6,10,1107,111606.000000000000000,0.734245169
728,583037.187500000000000,5031703.219999999739230,583042.187500000000000,5031700.179999999701977,7,10,1108,105965.000000000000000,0.697138158
729,583037.187500000000000,5031700.179999999701977,583042.187500000000000,5031697.139999999664724,8,10,1109,121141.000000000000000,0.796969777
730,583037.187500000000000,5031697.139999999664724,583042.187500000000000,5031694.099999999627471,9,10,1110,138591.000000000000000,0.911794892
731,583037.187500000000000,5031694.099999999627471,583042.187500000000000,5031691.059999999590218,10,10,1111,149108.000000000000000,0.980973684
732,583037.187500000000000,5031691.059999999590218,583042.187500000000000,5031688.019999999552965,11,10,1112,137672.000000000000000,0.905736842
733,583037.187500000000000,5031688.019999999552965,583042.187500000000000,5031684.979999999515712,12,10,1113,121058.000000000000000,0.79643945
734,583037.187500000000000,5031684.980000000447035,583042.187500000000000,5031681.940000000409782,13,10,1114,116578.000000000000000,0.766960526
735,583037.187500000000000,5031681.940000000409782,583042.187500000000000,5031678.900000000372529,14,10,1115,125703.000000000000000,0.826993421
736,583037.187500000000000,5031678.900000000372529,583042.187500000000000,5031675.860000000335276,15,10,1116,135047.000000000000000,0.88846126
