Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
2504,21,ExG,-0.492743419,3.3999453E-7,-0.10797455,0.2950364621
2504,21,ExR,-0.472286015,1.185294E-6,-0.235327319,0.0209970104
2504,21,GNDVI,0.2630876664,0.0096046287,0.4363322685,8.8302983E-6
2504,21,HA,-0.12718722,0.2168778032,-0.38409037,0.0001118715
2504,21,NDRE,0.2951712572,0.003505523,0.1402876756,0.1727944618
2504,21,NDVI,0.1844730381,0.0719778809,0.4522524564,3.732332E-6
2504,21,PlantCount,-0.12469262,0.2261025341,-0.399188738,0.0000560576
2504,21,Thresh,0.1072641083,0.2982438307,0.4220595231,0.0000184348
2504,25,ExG,-0.402962362,0.0000469183,0.0705520198,0.4945673898
2504,25,ExR,0.3327409323,0.0009250146,0.1822378796,0.0755546969
2504,25,GNDVI,0.1581698644,0.1237684014,0.5877351552,3.066908E-10
2504,25,HA,-0.204476031,0.0456764693,-0.441057722,6.8694453E-6
2504,25,NDRE,0.0524538905,0.6117631234,0.214987321,0.0354214698
2504,25,NDVI,0.016021079,0.8768784583,0.5166266951,7.1116544E-8
2504,25,PlantCount,-0.192410465,0.060364207,-0.321126401,0.0014222116
2504,25,Thresh,0.1133080658,0.2716855542,0.6126167663,3.28383E-11
2504,32,ExG,-0.047984235,0.6424640248,0.5592829895,3.1632734E-9
2504,32,ExR,-0.31097029,0.0020437413,-0.523668045,4.3803805E-8
2504,32,GNDVI,0.1056773744,0.3054897582,0.6664438908,1.253333E-13
2504,32,HA,-0.026407407,0.7984189066,-0.28173562,0.0054218354
2504,32,NDRE,0.0985289765,0.339545703,0.5649258789,2.0264394E-9
2504,32,NDVI,-0.019317649,0.8518083819,0.6147753076,2.680278E-11
2504,32,PlantCount,-0.051946387,0.6152167698,-0.285045361,0.0048788569
2504,32,Thresh,0.1315815293,0.201282432,0.6905766496,6.979302E-15
2504,40,ExG,0.2383831291,0.0193407296,0.6682483789,1.019319E-13
2504,40,ExR,-0.382920607,0.0001178605,-0.603044475,7.935779E-11
2504,40,GNDVI,0.0530589734,0.6076565127,0.5965000922,1.426755E-10
2504,40,HA,0.0756617421,0.463759281,0.1104310595,0.2841220823
2504,40,NDRE,-0.105628862,0.3057130873,0.4193490791,0.0000211216
2504,40,NDVI,-0.013328693,0.8974455013,0.5612523405,2.7105056E-9
2504,40,PlantCount,0.3417207114,0.0006556319,0.2293979878,0.0245595789
2504,40,Thresh,0.2014217543,0.0490808463,0.6836212952,1.650512E-14
2504,47,ExG,0.3413798404,0.0006643797,0.7697986382,4.969107E-20
2504,47,ExR,-0.291125974,0.0040060663,-0.805371391,4.540975E-23
2504,47,GNDVI,0.177761176,0.0831472841,0.7737430986,2.436642E-20
2504,47,HA,0.1912177232,0.0620048405,-0.068089063,0.5097928249
2504,47,NDRE,-0.079828439,0.4394366219,0.2856706301,0.0047818947
2504,47,NDVI,0.238341645,0.0193624393,0.8659311748,4.917473E-30
2504,47,PlantCount,0.0862920316,0.4031711006,-0.112119208,0.2767794639
2504,47,Thresh,0.3808068318,0.0001294431,0.9509220302,1.118263E-49
2504,55,ExG,0.3769038107,0.0001536475,0.8215961719,1.134111E-24
2504,55,ExR,-0.257947131,0.0111697657,-0.753096433,8.742618E-19
2504,55,GNDVI,0.4166757494,0.0000241275,0.8831956503,1.141713E-32
2504,55,HA,0.32034243,0.0014632314,0.3014224854,0.0028415784
2504,55,NDRE,0.1575633776,0.125233896,0.5495546381,6.6867034E-9
2504,55,NDVI,0.4076958292,0.0000374168,0.9515186946,6.380317E-50
2504,55,PlantCount,0.3826111335,0.0001194939,0.3603941316,0.000309911
2504,55,Thresh,0.5264123137,3.6156538E-8,0.9970995537,5.88966E-107
2506,13,ExG,-0.164382936,0.0227024884,-0.036133948,0.6187802942
2506,13,ExR,0.0569115743,0.4329954172,-0.022603968,0.755645335
2506,13,GNDVI,0.1083888279,0.1345273989,0.0138951265,0.8482995775
2506,13,HA,-0.005111519,0.9439029568,-0.024914485,0.7315802829
2506,13,NDRE,-0.014620177,0.8404866694,-0.073561524,0.31057469
2506,13,NDVI,0.0913375703,0.2076760417,0.0290222402,0.6894495718
2506,13,PlantCount,0.0407313391,0.5748402253,0.1076009604,0.1374000343
2506,13,Thresh,0.1017127204,0.1603745537,0.0397785777,0.5838252759
2506,21,ExG,-0.204255621,0.0044861089,0.0917250354,0.2057462182
2506,21,ExR,-0.300885584,0.0000222868,-0.140371812,0.052140278
2506,21,GNDVI,0.1590241647,0.0275839264,0.1217841477,0.0924253175
2506,21,HA,-0.175732164,0.0147638838,-0.207503785,0.0038772161
2506,21,NDRE,0.0916278966,0.206228813,-0.04092187,0.573051235
2506,21,NDVI,0.1924808199,0.0074788468,0.1763817079,0.014394087
2506,21,PlantCount,-0.216264596,0.0025883387,-0.221083426,0.0020586243
2506,21,Thresh,0.2612227611,0.0002524879,0.2518189305,0.0004259301
2506,25,ExG,0.001421766,0.9843848548,0.2216753918,0.0020008624
2506,25,ExR,0.0663195611,0.3607395858,-0.026694067,0.7132207249
2506,25,GNDVI,0.1578906425,0.0287243671,0.1724692028,0.0167499199
2506,25,HA,0.0276129194,0.7038044818,-0.104481312,0.1492369086
2506,25,NDRE,0.1428903238,0.0480218684,0.0420467742,0.5625427003
2506,25,NDVI,0.1089756707,0.1324178203,0.1565675136,0.0301062938
2506,25,PlantCount,0.0833006519,0.2506763738,-0.034454727,0.6351846979
2506,25,Thresh,0.1806494427,0.0121598531,0.2594352578,0.0002792953
2506,32,ExG,0.1950705066,0.0066994984,0.471018695,5.393975E-12
2506,32,ExR,-0.334674823,2.0886856E-6,-0.316688367,7.6326677E-6
2506,32,GNDVI,0.2781645366,0.000093614,0.3181199482,6.905414E-6
2506,32,HA,-0.014092435,0.8461719439,0.0218129901,0.7639394068
2506,32,NDRE,0.1333736139,0.0651453657,0.0481805675,0.5069235732
2506,32,NDVI,0.2422750535,0.0007099084,0.334303773,2.1470816E-6
2506,32,PlantCount,-0.028064799,0.6991900696,0.0075222153,0.9175251123
2506,32,Thresh,0.3060616385,0.0000157963,0.4065201577,4.8930542E-9
2506,40,ExG,0.3203622087,5.8969508E-6,0.6318577249,8.596879E-23
2506,40,ExR,-0.315186178,8.4736024E-6,-0.383063151,4.1618924E-8
2506,40,GNDVI,0.1606103983,0.026053196,0.4056873462,5.2946787E-9
2506,40,HA,0.1072783741,0.1385896633,0.2440941735,0.0006450241
2506,40,NDRE,0.0858206518,0.2365771633,0.2719348177,0.0001358581
2506,40,NDVI,0.198361715,0.0058139593,0.4366469111,2.42747E-10
2506,40,PlantCount,0.2329667006,0.0011465105,0.3538706444,4.7724978E-7
2506,40,Thresh,0.2989549028,0.000025298,0.5673999309,9.413908E-18
2506,47,ExG,0.3528798545,5.1628498E-7,0.6697575904,2.36882E-26
2506,47,ExR,-0.317720916,7.1012276E-6,-0.633546474,6.112096E-23
2506,47,GNDVI,0.4290282522,5.336564E-10,0.6212380521,7.005723E-22
