fid,id,Trial,Row,Column,Combocode,MasonPlot#,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,612PLTCOUNT,6-12HA_mean,,NDRE_mean,NDRE_Var
78,3018,2501,16,3,25011603,1603,25,9.453371985,204.5430728,829.4550893,2634155.352,0.20757516,0.016742307,0.067249927,0.009428611,-0.031570781,0.001068718,0.180577586,0.147969321,0.716355881,26,,,
79,3019,2501,16,4,25011604,1604,25,10.47525511,206.8851768,625.9878203,2880552.105,0.218481986,0.018927651,0.072232484,0.010684332,-0.028895699,0.001239713,0.203950428,0.162354651,0.735073267,33,,,
80,3020,2501,16,5,25011605,1605,25,9.887001477,161.8771323,701.0502105,2533189.754,0.213263894,0.015648872,0.068205496,0.008703852,-0.026654613,0.000895876,0.193664861,0.156158783,0.770057959,36,,,
81,3021,2501,17,1,25011701,1701,25,10.69607897,229.1270075,544.1368865,2837707.221,0.220766179,0.020255373,0.072852785,0.012339925,-0.028739053,0.001053321,0.21593022,0.16930436,0.74113766,30,,,
82,3022,2501,17,2,25011702,1702,25,9.569775711,194.6388403,693.0982496,2573665.745,0.211095829,0.015901221,0.06694681,0.009203806,-0.032431578,0.00094066,0.190919037,0.154468958,0.719965002,28,,,
83,3023,2501,17,3,25011703,1703,25,10.31636533,216.2709297,619.8810964,3326332.086,0.223098912,0.016982894,0.077741871,0.009929286,-0.02992922,0.001768385,0.218249952,0.170616911,0.84713666,55,,,
84,3024,2501,17,4,25011704,1704,25,8.646269106,164.0801352,738.0445033,3687022.022,0.206187936,0.013580175,0.06315826,0.008170951,-0.032204798,0.002071525,0.17933995,0.147177132,0.961595946,91,,,
85,3025,2501,17,5,25011705,1705,25,10.61485027,231.7700242,441.2069793,3654140.876,0.221369191,0.017913177,0.069867326,0.010184455,-0.02836213,0.001347697,0.215780118,0.169219058,0.855476368,50,,,
86,3026,2501,18,1,25011801,1801,25,8.120853275,147.1523301,724.3144153,2941857.828,0.206341948,0.014331743,0.063101707,0.009141563,-0.035785213,0.000765856,0.177218652,0.145812201,0.90487387,43,,,
87,3027,2501,18,2,25011802,1802,25,9.175034181,214.7998525,661.7036206,2514336.845,0.217129559,0.017132649,0.072688344,0.009768448,-0.03457009,0.000862654,0.199124966,0.159474214,0.654442723,23,,,
88,3028,2501,18,3,25011803,1803,25,10.73330416,297.0767703,574.7062628,3690944.257,0.22884407,0.018481213,0.082819577,0.009577587,-0.029226603,0.000934449,0.219766997,0.171469464,0.709575108,28,,,
89,3029,2501,18,4,25011804,1804,25,10.09181189,209.8267688,631.2294743,3648309.961,0.23744711,0.021282795,0.094097231,0.012780171,-0.023683365,0.000995743,0.238968074,0.181862333,0.62691845,29,,,
90,3030,2501,18,5,25011805,1805,25,10.06346775,225.2645061,593.7866609,3391643.775,0.225181161,0.01843812,0.07927176,0.010108102,-0.023756855,0.000781321,0.208732286,0.165163119,0.532406226,21,,,
91,4001,2501,19,1,25011901,1901,25,9.531245727,176.4180378,871.5544919,2576766.98,0.213083293,0.017311299,0.07430518,0.01004596,-0.02309797,0.00104787,0.195432791,0.157238815,0.68493675,30,,,
92,4002,2501,19,2,25011902,1902,25,10.24080002,219.0964382,727.1750307,2613554.239,0.221738782,0.017632236,0.079478651,0.009600701,-0.025555689,0.00087802,0.208760842,0.165179753,0.703997375,36,,,
93,4003,2501,19,3,25011903,1903,25,8.150816444,138.359082,810.7912148,2197231.263,0.205505389,0.012373722,0.064890549,0.007249496,-0.03041738,0.000742507,0.161428845,0.135369573,0.847945755,42,,,
94,4004,2501,19,4,25011904,1904,25,8.881546919,142.4379285,697.0615811,2788589.95,0.215410437,0.014171765,0.071761633,0.008168212,-0.027310887,0.000734142,0.177118945,0.145747825,0.738339561,33,,,
95,4005,2501,19,5,25011905,1905,25,8.175677523,108.5451759,743.9370855,2440415.273,0.203424001,0.01165937,0.060141028,0.006585824,-0.026433521,0.000598648,0.154975798,0.1309583,0.728609967,33,,,
96,4006,2501,20,1,25012001,2001,25,9.309241123,210.061945,661.3955568,2995921.741,0.214750525,0.017232156,0.069798314,0.009583132,-0.028337022,0.001264948,0.187941128,0.152619261,0.717168219,31,,,
97,4007,2501,20,2,25012002,2002,25,8.837732856,172.7348369,687.5821811,2476008.186,0.220233228,0.016426904,0.076287768,0.009258967,-0.028347398,0.001065123,0.201958585,0.161171315,0.762713718,31,,,
98,4008,2501,20,3,25012003,2003,25,9.102888087,217.2674471,719.8017506,2910716.965,0.230038327,0.016791463,0.087992697,0.009300411,-0.025362247,0.000943481,0.214746745,0.168630581,0.693436378,33,,,
99,4009,2501,20,4,25012004,2004,25,12.37205295,355.6093202,424.5158361,4428684.475,0.243903019,0.021265657,0.093750179,0.011097851,-0.02490185,0.000972711,0.247907664,0.186449454,0.604855909,26,,,
100,4010,2501,20,5,25012005,2005,25,8.204694039,120.4995835,780.4626037,2269573.627,0.209609607,0.013239105,0.067877906,0.007959159,-0.026296503,0.000685871,0.172908061,0.143010864,0.792366162,37,,,
101,4011,2501,21,1,25012101,2101,25,10.36473067,196.9563486,608.3305121,2642876.071,0.21643564,0.016105839,0.070315472,0.008904229,-0.030550403,0.000981494,0.202254261,0.161347475,0.907692308,62,,,
102,4012,2501,21,2,25012102,2102,25,7.780807307,109.8178683,948.1194113,1721158.728,0.187090139,0.010505358,0.049954311,0.006105004,-0.037390111,0.000630548,0.129163704,0.112480442,0.901179215,51,,,
103,4013,2501,21,3,25012103,2103,25,9.552303315,158.7727595,879.9625122,2480583.498,0.208374579,0.01397593,0.069528179,0.007988507,-0.030805443,0.000757741,0.175675676,0.144813733,0.859879345,40,,,
104,4014,2501,21,4,25012104,2104,25,8.631540082,139.431997,980.5084426,2326652.018,0.201107195,0.01347317,0.065164648,0.008023337,-0.028659606,0.000820282,0.154172251,0.130403168,0.857273059,47,,,
105,4015,2501,21,5,25012105,2105,25,8.653312915,116.5857065,823.7032292,1792496.556,0.201095441,0.013263647,0.059935644,0.008037233,-0.027560768,0.000782162,0.162186551,0.135882074,0.754470063,36,,,
106,4016,2501,22,1,25012201,2201,25,8.550170928,167.8566173,798.9435089,2336106.563,0.20213588,0.012550813,0.061037004,0.006856301,-0.027912292,0.000822601,0.168385068,0.140031537,0.891839673,49,,,
107,4017,2501,22,2,25012202,2202,25,10.07916838,193.0913661,680.6809302,2744836.644,0.238444987,0.020091257,0.096543244,0.011790285,-0.021975099,0.001080958,0.244590343,0.184765907,0.776167824,40,,,
108,4018,2501,22,3,25012203,2203,25,9.55874145,197.4242239,724.4277923,3103408.975,0.226265409,0.017098675,0.085029267,0.009799687,-0.02564934,0.00106714,0.211627907,0.166841536,0.701303199,32,,,
109,4019,2501,22,4,25012204,2204,25,8.869430845,158.8782283,752.103788,3121981.437,0.207824266,0.013623362,0.065268291,0.007772072,-0.030833045,0.000762718,0.176927495,0.145624157,0.841034615,42,,,
110,4020,2501,22,5,25012205,2205,25,7.735943995,111.7915192,827.118191,2286472.915,0.208454663,0.013892281,0.068300215,0.008516134,-0.026698418,0.000642887,0.165253774,0.137944964,0.817287011,36,,,
111,4021,2501,23,1,25012301,2301,25,10.83239429,205.2256144,819.1168315,2783257.149,0.201191046,0.014336473,0.05839563,0.007416952,-0.033858192,0.001203439,0.175291286,0.144564251,0.815333297,50,,,
112,4022,2501,23,2,25012302,2302,25,10.78960897,212.8313714,828.5961013,2737987.789,0.212530114,0.01508413,0.071223062,0.007616714,-0.032167257,0.001078495,0.193163795,0.155851544,0.715366249,28,,,
113,4023,2501,23,3,25012303,2303,25,11.92655985,248.2688451,654.2713072,3261615.304,0.220712928,0.017339374,0.075584669,0.009171741,-0.030720543,0.001316505,0.205610543,0.163334848,0.740143271,37,,,
114,4024,2501,23,4,25012304,2304,25,10.91473822,191.4831019,678.7777121,3364761.661,0.211170112,0.013261138,0.066492762,0.007060339,-0.029834514,0.001417974,0.182230975,0.149022847,0.888344117,43,,,
115,4025,2501,23,5,25012305,2305,25,12.38280523,279.1780921,506.0917637,3507886.784,0.218702737,0.015637396,0.069250661,0.007602163,-0.025695658,0.000895071,0.191320528,0.154716983,0.673319845,25,,,
116,4026,2501,24,1,25012401,2401,25,11.77876227,213.1865394,177.5137474,3654459.622,0.228673024,0.015145662,0.069173354,0.008580044,-0.02703076,0.000836226,0.205868679,0.163486766,0.741697955,35,,,
117,4027,2501,24,2,25012402,2402,25,10.36817784,166.5271105,318.7132615,2519495.666,0.220416082,0.013338902,0.06518622,0.007560914,-0.028834569,0.000766524,0.179727661,0.147425629,0.7723884,34,,,
118,4028,2501,24,3,25012403,2403,25,10.48606134,176.6312792,223.459393,2032795.886,0.235296278,0.015630991,0.078199198,0.009093653,-0.02184212,0.001237373,0.206467321,0.163838567,0.672025079,30,,,
119,4029,2501,24,4,25012404,2404,25,12.45980092,287.0233786,-14.55315012,3028206.443,0.249916444,0.017831277,0.086455046,0.009560039,-0.016780239,0.001624051,0.235615839,0.180101015,0.782660203,39,,,
120,4030,2501,24,5,25012405,2405,25,11.61747095,208.1484904,13.78063166,2252206.122,0.236727051,0.015488624,0.072745667,0.008331974,-0.019742336,0.000924195,0.215146958,0.168858745,0.654496737,30,,,
121,1001,2502,1,1,25020101,101,25,11.72668362,256.3613029,650.8041945,2845400.819,0.23503862,0.021148288,0.091060451,0.012122725,-0.018740029,0.000872785,0.247559675,0.186273882,0.669352193,25,,,
122,1002,2502,1,2,25020102,102,25,11.42368939,250.9625197,706.0368613,2897269.425,0.235443353,0.021586741,0.092969949,0.012711681,-0.019024374,0.001097984,0.243241764,0.184075208,0.658847759,28,,,
123,1003,2502,1,3,25020103,103,25,9.134347136,152.1597311,784.4713257,1736037.771,0.214001023,0.016056337,0.07284565,0.00989217,-0.027284057,0.000889302,0.197336032,0.158394522,0.588104482,24,,,
124,1004,2502,1,4,25020104,104,25,8.669473914,138.3825495,624.1196979,1818255.31,0.220248134,0.016048855,0.074931747,0.010495956,-0.029068678,0.000934899,0.212430275,0.167303653,0.592650651,25,,,
125,1005,2502,1,5,25020105,105,25,9.54961164,179.8117002,660.4170823,2250708.323,0.215211542,0.0158843,0.070186834,0.00949669,-0.032230551,0.000909767,0.204244612,0.162528751,0.614522391,26,,,
