Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25107,23,HA,0.3346253678,0.1381590667,0.3046081024,0.1794073908
25107,23,NDVI,-0.056565832,0.8075878242,-0.128283624,0.5794620914
25107,23,PlantCount,0.1079339587,0.6414351225,0.0713889187,0.758458664
25107,23,Thresh,-0.102931496,0.6570492507,-0.031990644,0.8905111603
25107,30,ExG,0.1429953839,0.5363427753,0.3795988153,0.0896533902
25107,30,ExR,-0.182420733,0.4286852428,-0.306116069,0.1771549267
25107,30,GNDRE,-0.090887422,0.6952003889,0.3835160886,0.0861233618
25107,30,GNDVI,-0.188909628,0.4121552479,0.5544679237,0.0090948462
25107,30,HA,-0.489857154,0.0241881871,-0.061767015,0.7902596037
25107,30,NDVI,-0.022136859,0.9241215688,0.5865652612,0.0051918238
25107,30,PlantCount,-0.308798465,0.1731961684,-0.119534051,0.6057924583
25107,30,Thresh,-0.014627456,0.9498223115,0.5684652413,0.0071707793
25107,37,ExG,0.1266893919,0.5842227378,0.7521424023,0.0000840705
25107,37,ExR,-0.188780975,0.4124795671,-0.709463879,0.0003161576
25107,37,GNDRE,-0.312709331,0.1675338707,0.3571983682,0.1119211844
25107,37,GNDVI,-0.080501606,0.7286820699,0.7386209646,0.0001313857
25107,37,HA,-0.341032379,0.1303080535,-0.00704005,0.9758387248
25107,37,NDVI,0.0305123609,0.8955433266,0.7916338197,0.0000191178
25107,37,PlantCount,-0.367843434,0.1008884808,-0.034381964,0.8823796122
25107,37,Thresh,-0.006596336,0.9773611518,0.8229122383,4.6469207E-6
25107,42,ExG,-0.040279537,0.8623754718,0.7849464069,0.0000250915
25107,42,ExR,-0.031481518,0.8922438094,-0.932078182,8.047243E-10
25107,42,GNDRE,-0.031481518,0.8922438094,-0.932078182,8.047243E-10
25107,42,GNDVI,-0.022472141,0.9229755863,0.8165601272,6.3254982E-6
25107,42,HA,-0.633083388,0.0020669408,-0.042238507,0.8557480863
25107,42,NDVI,0.0188631827,0.9353181617,0.8922151937,5.5174455E-8
25107,42,PlantCount,-0.549957654,0.0097980042,0.0150051931,0.9485281621
25107,42,Thresh,-0.065895516,0.7765722011,0.999877392,9.064832E-36
25110,10,ExG,-0.375147194,0.0111093845,-0.344310444,0.0205569686
25110,10,ExR,-0.375147194,0.0111093845,-0.344310444,0.0205569686
25110,10,GNDRE,-0.075686537,0.6212050739,-0.095433731,0.5328904542
25110,10,GNDVI,-0.04245542,0.7818491078,0.0437126087,0.7755539357
25110,10,HA,0.1783359871,0.241167326,0.0645944151,0.6733463795
25110,10,NDVI,-0.03100793,0.8397582788,0.1913935009,0.2078647297
25110,10,PlantCount,0.0334832032,0.8271543398,-0.069178156,0.6515974855
25110,10,Thresh,0.1474941758,0.3336038875,0.4340558067,0.0028919147
25110,16,ExG,-0.182178679,0.2310118413,0.5134901494,0.0003093048
25110,16,ExR,0.0923692287,0.5461844123,-0.531641386,0.0001712134
25110,16,GNDRE,0.0272330088,0.8590554766,0.2047506556,0.1772718849
25110,16,GNDVI,-0.063499706,0.6785805982,0.5921186399,0.0000183161
25110,16,HA,0.0355962299,0.816428686,-0.001512703,0.9921314183
25110,16,NDVI,-0.117242951,0.4430763988,0.6542267923,1.0931221E-6
25110,16,PlantCount,0.2276407932,0.1326038496,-0.363522133,0.0141048825
25110,16,Thresh,-0.169819202,0.2647436653,0.6423137309,1.9710889E-6
25110,23,ExG,-0.261484483,0.0827300257,0.438444574,0.0025905277
25110,23,ExR,0.2781710659,0.0642814131,-0.386053975,0.0088120687
25110,23,GNDRE,-0.066628681,0.6636603545,0.0126168419,0.9344416546
25110,23,GNDVI,0.0268927477,0.8607990443,0.0875570758,0.5673742891
25110,23,HA,-0.000507692,0.997359115,-0.280926595,0.061577905
25110,23,NDVI,-0.106408392,0.4866157419,0.5747724996,0.000036385
25110,23,PlantCount,-0.007494511,0.9610303763,-0.194360249,0.2007704288
25110,23,Thresh,-0.132628721,0.3851151759,0.623735998,4.7075033E-6
25110,30,ExG,-0.055776603,0.7159211917,0.6306909246,3.4209577E-6
25110,30,ExR,0.1925869728,0.2049900262,-0.548551111,0.0000956719
25110,30,GNDRE,-0.188814857,0.2141718793,0.2403849417,0.1117005586
25110,30,GNDVI,-0.171563255,0.2597953025,0.5953455853,0.0000160496
25110,30,HA,0.0871761067,0.569067934,-0.415365817,0.0045485083
25110,30,NDVI,-0.162206888,0.2870719584,0.6070050929,9.8383673E-6
25110,30,PlantCount,0.1840491767,0.2261761009,-0.421138656,0.003965379
25110,30,Thresh,-0.081674582,0.5937812753,0.6688936578,5.1005407E-7
25110,37,ExG,0.2366928546,0.1174796846,0.9387651975,1.625882E-21
25110,37,ExR,-0.083731557,0.5844857907,-0.897086828,7.490922E-17
