Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2502,4,18,2512.662402,0.981954394,4.2726114355,0.0020543793158826597
SVREC_2025,2502,4,3,2377.737469,0.983505267,4.549503557,0.0018072080250699151
SVREC_2025,2502,1,27,2223.362301,0.980352131,4.4092300285,0.0023674930145955496
SVREC_2025,2502,1,3,2375.15748,0.986932274,5.3200980829999995,0.002827957863530048
SVREC_2025,2502,1,13,1943.175533,0.956365625,4.2582648225,0.0012228456340423674
SVREC_2025,2502,1,2,2526.588583,0.963674474,4.3361449685,0.0026320337682718456
SVREC_2025,2502,1,14,2314.37308,0.936367613,4.2149791745,0.002322247185766462
SVREC_2025,2502,1,33,2637.306799,0.934968833,4.148928411,0.0022058813763679865
SVREC_2025,2502,2,3,2585.710774,0.958568017,4.424575732,0.001812896827194757
SVREC_2025,2502,2,20,2712.330229,0.95257623,4.0495429695,0.0022499275210757954
SVREC_2025,2502,2,2,2750.177165,0.92410462,4.204005253,0.0033505604848335204
SVREC_2025,2502,2,36,2518.629537,0.953793154,4.3171027415,0.002154287147737344
SVREC_2025,2502,2,11,2363.334838,0.944279387,4.3072016495,0.0015813368640457798
SVREC_2025,2502,2,28,1964.409449,0.909228442,3.9449943695,0.0011350244659305022
SVREC_2025,2502,3,25,2249.42006,0.969743917,3.112913624,0.0017462110555029762
SVREC_2025,2502,3,5,2571.594488,0.960118115,4.2265065784999996,0.0016030280938446305
SVREC_2025,2502,3,12,2256.92875,0.968178173,4.5133852025,0.002902981952362511
SVREC_2025,2502,3,11,2596.246639,0.976413977,4.5675210575,0.0021690030152379013
SVREC_2025,2502,3,15,2261.30603,0.961703912,4.305978038,0.0019071115347075343
SVREC_2025,2502,3,14,1904.733772,0.970908296,4.421892205,0.003224520966163416
SVREC_2025,2502,4,23,2521.108292,0.973006962,4.452986383,0.003042878711648913
SVREC_2025,2502,4,2,2202.613357,0.977527066,4.458075439,0.0018934044308983532
SVREC_2025,2502,4,22,2291.441425,0.974790835,4.4276494495,0.002043772271922218
SVREC_2025,2502,4,28,2067.668619,0.97862025,4.17947317,0.0011999545214205522
SVREC_2025,2502,4,24,2245.037642,0.981318461,4.446655621,0.001865727151622061
SVREC_2025,2502,4,14,2225.35109,0.977708516,4.418707572,0.0019044345916141541
SVREC_2025,2503,1,1,1815.405848,0.973461167,4.0215973465,0.0026660020282005398
SVREC_2025,2503,1,7,1633.919675,0.981171281,4.1817126255,0.0022486337310743476
SVREC_2025,2503,1,31,2416.988525,0.98518154,4.1775796525,0.0023017564374818588
SVREC_2025,2503,1,6,1961.247599,0.968632097,3.7659689025,0.002683384866189308
SVREC_2025,2503,1,34,2370.328356,0.982156202,3.979087317,0.0016139139403673318
SVREC_2025,2503,1,39,2470.349842,0.968906062,4.4431212255,0.002170076275485547
SVREC_2025,2503,1,21,2584.33479,0.960629921,4.238222408,0.0024154771223921924
SVREC_2025,2503,1,30,2266.602218,0.981846681,4.4887485135,0.001455766275113234
SVREC_2025,2503,1,37,1701.199995,0.968597361,3.970828482,0.0013494511913410504
SVREC_2025,2503,1,17,2564.073003,0.959811909,3.8433031205,0.0019640601138404355
